"age","country","experienced_fistula","se"
1,"Cote d'lvoire",0.0047691632760836,0.00270181095842
2,"Cote d'lvoire",0.0105383081859166,0.00513993889759544
3,"Cote d'lvoire",0.0198818550672743,0.00639245963508845
4,"Cote d'lvoire",0.00909331826871296,0.0045280262762012
5,"Cote d'lvoire",0.0112632971893266,0.00524323932912792
6,"Cote d'lvoire",0.00749592827558389,0.0053321150445558
7,"Cote d'lvoire",0,0
1,"GuineaBissau",0.0487677178846124,0.0104922311135868
2,"GuineaBissau",0.0482160906465172,0.00704169081819036
3,"GuineaBissau",0.0395034640162479,0.0057400554171338
4,"GuineaBissau",0.0465546450618277,0.00692017181745972
5,"GuineaBissau",0.050290805261057,0.00900283319258493
6,"GuineaBissau",0.0449893513060453,0.0104190736827562
7,"GuineaBissau",0.0537943790605858,0.0178136106142681
1,"Mali",0.00642462380332303,0.0032924808788486
2,"Mali",0.00359329394881398,0.00140954508391982
3,"Mali",0.00478430997936696,0.00148636838165648
4,"Mali",0.00424763673740349,0.00170036849218207
5,"Mali",0.00349820298996161,0.00208398789614369
6,"Mali",0.0057648080292085,0.00324046196786331
7,"Mali",0.012220385266127,0.0102295485376852
1,"Nigeria",0.00388403676792842,0.00227337100403576
2,"Nigeria",0.00408978785856005,0.00130772282366753
3,"Nigeria",0.00190247670424115,0.000926490557778351
4,"Nigeria",0.000835907440746394,0.000446714052379384
5,"Nigeria",0.00181220255732721,0.000916440781978691
6,"Nigeria",0,0
7,"Nigeria",0,0
1,"SierraLeone",0.0137459799026357,0.00500362514252531
2,"SierraLeone",0.0129473283416666,0.0032728976836925
3,"SierraLeone",0.0116179218685924,0.00267062593991328
4,"SierraLeone",0.0179103451666597,0.00416255488443967
5,"SierraLeone",0.0143290595867915,0.00381559346324511
6,"SierraLeone",0.0170837866269336,0.00664162786501312
7,"SierraLeone",0.0258880109126176,0.0110059438245339
1,"Togo",0,0
2,"Togo",0.0024691851179719,0.00246837389799613
3,"Togo",0.00764853470278906,0.00452900636424634
4,"Togo",0.0094971945238983,0.00558305322719298
5,"Togo",0.0137892992402555,0.00697104972175702
6,"Togo",0.0291880957956588,0.0147430091256099
7,"Togo",0.0122242572534578,0.0121587620186015
