"contraception_use","country","experienced_fistula","se"
1,"Cote d'lvoire",0.0088329543703374,0.00290499894363742
2,"Cote d'lvoire",0.0123284029849321,0.00296521972919503
3,"Cote d'lvoire",0.0169706526881361,0.0121771665427868
1,"GuineaBissau",0.0496285476199774,0.013929305718023
2,"GuineaBissau",0.0409957128188304,0.00312496007244564
3,"GuineaBissau",0.113336507324193,0.0186769518866664
1,"Mali",0.00280738951392799,0.0016203761717399
2,"Mali",0.00470535744976634,0.000877912917102896
3,"Mali",0.0273555833586124,0.0192591146352722
1,"Nigeria",0.00240590108364388,0.00150303037531059
2,"Nigeria",0.00208488150952467,0.000460437394767394
3,"Nigeria",0,0
1,"SierraLeone",0.00466503573869542,0.00172124837252427
2,"SierraLeone",0.0178322816482483,0.00200336142877219
3,"SierraLeone",0,0
1,"Togo",0.00360346486996549,0.00359881471322419
2,"Togo",0.0116352834120189,0.00307645693400081
3,"Togo",0,0
