"delivery_place","country","experienced_fistula","se"
1,"Cote d'lvoire",0.00809812801195836,0.00261941339088129
2,"Cote d'lvoire",0.00379396765361922,0.00381083675145663
3,"Cote d'lvoire",0.0128022027385782,0.00289654423694565
1,"GuineaBissau",0.0326672468958153,0.00388570863294316
2,"GuineaBissau",0.039858219506984,0.0100044063894438
3,"GuineaBissau",0.0581521863381523,0.00503307390240977
1,"Mali",0.007874251316038,0.00207334274667496
2,"Mali",0.00416881535470154,0.00268941710220354
3,"Mali",0.00338698342783546,0.000832097053916112
1,"Nigeria",0.00240805626506277,0.000630673415134861
2,"Nigeria",0.00156863651743597,0.00111251917697879
3,"Nigeria",0.0014645027942601,0.00055685380202563
1,"SierraLeone",0.0135369549272772,0.00339304629749329
2,"SierraLeone",0.0126487012351484,0.00745957987705369
3,"SierraLeone",0.0146460201753624,0.00176141672175313
1,"Togo",0.00764887380231441,0.00247735957489175
2,"Togo",0.0210015587192312,0.014710700471795
3,"Togo",0.0169436450725739,0.00856038638169965
