"distance","country","experienced_fistula","se"
0,"Cote d'lvoire",0.0127688953005977,0.00342439664246607
1,"Cote d'lvoire",0.0107485746082248,0.00327116544584243
0,"GuineaBissau",0.0459930575068252,0.00447178352411232
1,"GuineaBissau",0.0459493065041189,0.00430952828566084
0,"Mali",0.00378774164114619,0.000831661380689708
1,"Mali",0.00654092000336128,0.00182335276973625
0,"Nigeria",0.00156543053250159,0.000458374846502559
1,"Nigeria",0.00313912755042526,0.000915932923927655
0,"SierraLeone",0.0157248012807712,0.00229563986024683
1,"SierraLeone",0.0129443522195511,0.00205031851601602
0,"Togo",0.0170651658111352,0.00467910656519827
1,"Togo",0.00284233879641735,0.00200889519425518
