"religion","country","experienced_fistula","se"
1,"Cote d'lvoire",0.0130172351326003,0.00336329720731688
2,"Cote d'lvoire",0.0125746597916436,0.00393506768506078
3,"Cote d'lvoire",0,0
4,"Cote d'lvoire",0,0
5,"Cote d'lvoire",0,0
1,"GuineaBissau",0.0487734308866442,0.0033376679412216
2,"GuineaBissau",0.0312337240970933,0.00992434464937143
3,"GuineaBissau",0,0
4,"GuineaBissau",0,0
1,"Mali",0.00493085310300517,0.000853683054508478
2,"Mali",0,0
1,"Nigeria",0.00259784511485462,0.000599088059411484
2,"Nigeria",0.000910950586709858,0.000432767417276047
3,"Nigeria",0,0
5,"Nigeria",0,0
1,"SierraLeone",0.0139439722391185,0.00175532285738214
2,"SierraLeone",0.0161702057168644,0.00331925150693233
4,"SierraLeone",0,0
1,"Togo",0.0099494532779352,0.00574850009084354
2,"Togo",0.0140340502771216,0.0053193185649035
3,"Togo",0.00427887297092471,0.00311373440672305
4,"Togo",0.015178378747366,0.00755290029160475
5,"Togo",0,0
