"wealth","country","experienced_fistula","se"
1,"Cote d'lvoire",0.00544926085963886,0.00186190860696432
2,"Cote d'lvoire",0.0106744643421627,0.00545443112091705
3,"Cote d'lvoire",0.00625669626828005,0.00220748058565522
4,"Cote d'lvoire",0.0186317241573384,0.00759132151667226
5,"Cote d'lvoire",0.021311507944539,0.00820953828614
1,"GuineaBissau",0.0317012800178984,0.00530988840814531
2,"GuineaBissau",0.0350747970503578,0.00600997119722147
3,"GuineaBissau",0.0383023271718518,0.00648568525236808
4,"GuineaBissau",0.0749191428798576,0.00892576617605958
5,"GuineaBissau",0.0555747973660422,0.00828068200266635
1,"Mali",0.00149078233726466,0.000802627641176149
2,"Mali",0.00806969504394884,0.00255950178148625
3,"Mali",0.00477228145495264,0.00180360941783888
4,"Mali",0.00380880037476081,0.0012346792799578
5,"Mali",0.00467971505132994,0.00187408841352797
1,"Nigeria",0.00157361624207062,0.00071002015374571
2,"Nigeria",0.00218036253327304,0.00100943007503047
3,"Nigeria",0.00245247569422319,0.00102771709538383
4,"Nigeria",0.00200284540141372,0.000896737430802676
5,"Nigeria",0.00183097315035267,0.000995068165047423
1,"SierraLeone",0.0202350292051814,0.0039790049776295
2,"SierraLeone",0.0175983943467604,0.00364243880922874
3,"SierraLeone",0.0142214495799881,0.00343495594279686
4,"SierraLeone",0.00923274674055104,0.00269972739602747
5,"SierraLeone",0.00928174343637001,0.0031526066329773
1,"Togo",0.00748106275807146,0.00335206948063868
2,"Togo",0.0116105734386864,0.00536116518896041
3,"Togo",0.00486517894839113,0.00345142769723633
4,"Togo",0.00979518927691419,0.00975096960340612
5,"Togo",0.0386248024244347,0.0218910213832921
